1941 "1941 : Counter Attack"
1942 "1942"
1943 "1943 : The Battle of Midway"
1944 "1944 : The Loop Master"
19xx "19XX : The War Against Destiny"
sonicwi3 "Aero Fighters 3"
altbeast "Altered Beast"
arabianm "Arabian Magic"
arkanoid "Arkanoid"
arknoid2 "Arkanoid 2 - Revenge of DOH"
asterix "Asterix"
asteroid "Asteroids"
baddudes "Bad Dudes vs. Dragonninja"
batsugunsp "Batsugun (version speciale"
bkraidu "Battle Bakraid (unlimited version"
bgaregga "Battle Garegga"
bzone "Battle Zone"
bmfinal "Beatmania - The Final"
bigbang "Big Bang"
bigrun "Big Run"
blazer "Blazer"
blockcar "Block Carnival"
blockout "Block Out"
bloodbro "Blood Bros"
bombjack "Bomb Jack"
bombrman "Bomber Man"
bnzabros "Bonanza Bros"
bottom9 "Bottom of the Ninth"
cbdash "Boulder Dash"
bouldash "Boulder Dash - Part 2"
boxyboy "Boxy Boy"
cabal "Cabal"
dino "Cadillacs and Dinosaurs"
cameltry "Cameltry"
captaven "Captain America and The Avengers"
cninja "Caveman Ninja"
csprint "Championship Sprint"
circus "Circus"
combatsc "Combat School"
commando "Commando"
defender "Defender"
diehard "Die Hard Arcade"
ddonpach "Dodonpachi"
dkong "Donkey Kong"
donpachi "Donpachi"
ddragon "Double Dragon"
ddragon2 "Double Dragon II"
eggventr "Egg Venture"
esprade "ESP Ra.De."
espgal "ESP Galuda"
fatfury1 "Fatal Fury"
ffight "Final Fight"
galaga "Galaga"
galaxian "Galaxian"
galpans2 "Gals Panic S2"
galpansu "Gals Panic SU"
gauntlet2p "Gauntlet (2 joueurs"
gigawing "Giga Wing"
goldnaxe "Golden Axe"
gradius2 "Gradius II"
gradius3 "Gradius III"
gunbird "Gunbird"
guwange "Guwange"
hook "Hook"
inthunt "In The Hunt"
jack "Jack The Giantkiller"
joust "Joust"
junglek "Jungle King"
ket "Ketsui"
kinst "Killer Instinct"
klax "Klax"
knights "Knights of the Round"
kof94 "King of Fighter '94"
kof95 "King of Fighter '95"
kof96 "King of Fighter '96"
kof97 "King of Fighter '97"
kof98 "King of Fighter '98"
kof99 "King of Fighter '99"
kof2000 "King of Fighter 2000"
kof2002 "King of Fighter 2002"
liquidk "Liquid Kids"
ldrun "Lode Runner"
llander "Lunar Lander"
mshvsf "Marvel Super Heroes Vs. Street Fighter"
mvsc "Marvel Vs. Capcom : Clash of Super Heroes"
mtwins "Mega Twins"
metalb "Metal Black"
mslug2 "Metal Slug 2"
mslug4 "Metal Slug 4"
missile "Missile Command"
mk "Mortal Kombat"
mk3 "Mortal Kombat 3"
mk4 "Mortal Kombat 4"
mk2 "Mortal Kombat 2"
pow "Prisoners of War"
pacman "Pac-Man"
sxyreact "Pachinko Sexy Reaction"
sxyreac2 "Pachinko Sexy Reaction 2"
pang "Pang"
paperboy "Paperboy"
parodius "Parodius DA!"
pigskin "Pigskin 621AD"
pipedrm "Pipe Dream"
popeye "Popeye"
progear "Progear"
puyo "Puyo Puyo"
puyopuy2 "Puyo Puyo 2"
pbobble "Puzzle Bobble"
pbobble2 "Puzzle Bobble 2"
pbobble3 "Puzzle Bobble 3"
pbobble4 "Puzzle Bobble 4"
qbert "Q*bert"
rtype "R-Type"
rtypeleo "R-Type Leo"
rsgun "Radient Silvergun"
raiden2 "Raiden II"
rainbow "Rainbow Islands"
rampage "Rampage"
rampart2p "Rampart"
ridgerac "Ridge Racer"
ridgera2 "Ridge Racer 2"
roadrunn "Road Runner"
robocop "Robocop"
rthunder "Rolling Thunder"
safari "Safari"
samsho "Samurai Shodown"
samsho2 "Samurai Shodown II"
samsho3 "Samurai Shodown III"
samsho4 "Samurai Shodown IV"
samsho5 "Samurai Shodown V"
sexyparo "Sexy Parodius"
shinobi "Shinobi"
silkworm "Silk Worm"
slyspy "Sly Spy"
sonicwi "Sonic Winds"
invaders "Space Invaders"
starcas "Star Castle"
sf "Street Fighter"
sf2 "Street Fighter II : The World Warrior"
sfiii3n "Street Fighter III 3rd Strike: Fight for the Future"
strhoop "Street Hoop"
s1945 "Strikers 1945"
s1945iii "Strickers 1945 III"
sbrkout "Super Breakout"
shangon "Super Hang-On"
ssf2t "Super Street Fighter II Turbo"
ssozumo "Syusse OOsumo"
tapper "Tapper (Budweiser"
tmnt2pj "Teenage Mutant Ninja Turtles (2 joueurs"
tmnt2 "Teenage Mutant Ninja Turtles - Turtles in Time"
tempest "Tempest"
tetris "Tetris"
tgm2p "Tetris : The Grand Master 2 Plus"
tgmj "Tetris : The Grand Master"
gametngk "The Game Paradise"
kof2001 "The King of Fighters 2001"
punisher "The Punisher"
toobin "Toobin'"
tophuntr "Top Hunter"
trog "Trog"
tron "Tron"
truxton "Truxton"
truxton2 "Truxton II"
xmcota "X-Men : Children of the Atom"
